U matrix:
0.31547 0.36397 0.14352 
0.02479 0.29806 0.04754 
0.32096 0.59828 0.35161 
V matrix:
0.81357 1.02207 0.80627 
1.18865 1.09850 0.91192 
0.68934 0.70204 0.94744 
0.77560 0.80929 0.98673 
0.42110 0.15657 0.41247 
0.44986 0.56268 0.36518 
0.78315 0.85145 0.85516 
0.83858 0.84762 0.98467 
1.06634 0.95436 0.90803 
0.40769 0.51924 0.55799 
0.74489 1.03258 0.76677 
0.69214 0.63738 0.59111 
0.67294 0.90298 0.93421 
0.97958 1.02898 0.86465 
0.61866 0.69673 0.62628 
0.56166 0.61239 0.45662 
0.78331 0.69198 0.66822 
0.04020 0.03566 0.24232 
1.30569 1.21567 1.28021 
0.45273 0.27689 0.43662 
0.44506 0.36759 0.18811 
0.52203 0.42331 0.49245 
0.72700 0.91415 0.79250 
0.34167 0.36110 0.47015 
0.89094 0.97136 0.78598 
0.35648 0.21283 0.47911 
0.23261 0.39636 0.21604 
0.89018 0.82581 0.96021 
0.90415 0.83293 0.81587 
0.27742 0.49885 0.32625 
0.94013 0.81760 0.80053 
0.81034 0.92806 0.92494 
0.91589 1.00194 1.23143 
0.80861 1.00801 0.96549 
0.21596 0.41369 0.15656 
0.68550 0.85237 0.76934 
0.59219 0.57044 0.51239 
0.89585 0.84318 0.76182 
0.42266 0.62529 0.46422 
0.80921 0.83864 0.85991 
0.49005 0.23165 0.44052 
0.94776 1.01956 0.93771 
0.92004 0.85499 1.09881 
0.48302 0.44060 0.39729 
1.18628 1.10533 0.92688 
0.70346 0.92039 0.99838 
0.80413 0.79614 0.93854 
0.75123 0.81614 0.81988 
1.01766 0.93139 0.89684 
0.25683 0.28674 0.14181 
0.81152 0.88411 0.99161 
0.82766 0.68043 0.92146 
0.84280 0.90194 1.07558 
1.10535 0.82601 0.99159 
0.70552 0.60966 0.40563 
0.22009 0.23010 0.52130 
0.65798 0.64175 0.56152 
0.31287 0.29769 0.50562 
0.85383 0.75714 0.80447 
0.62408 0.68368 0.53259 
0.45621 0.45931 0.36051 
0.96930 0.71584 0.79231 
0.63515 0.56231 0.42274 
0.76797 0.87836 0.91216 
0.74691 0.70213 0.44427 
0.65027 0.46623 0.65041 
0.69321 0.62813 0.60925 
0.41379 0.28603 0.29016 
0.84952 0.95109 0.93057 
0.84447 0.86783 0.60862 
0.30465 0.28093 0.31602 
0.17984 0.28536 0.15746 
0.40565 0.49164 0.36359 
0.30689 0.45174 0.35458 
0.85564 0.80073 0.93275 
0.70722 0.58478 0.74106 
0.41101 0.45281 0.38855 
0.83576 0.70353 0.62787 
0.57271 0.45918 0.45028 
0.23635 0.31793 0.37755 
0.73845 0.76384 0.84498 
0.71783 0.49888 0.51162 
0.52142 0.52074 0.60511 
0.57971 0.60985 0.57715 
0.96726 0.72379 0.80863 
0.88527 0.66468 0.86550 
0.27733 0.10303 0.08922 
1.20978 1.23232 0.99955 
0.95627 0.70868 0.87772 
0.39680 0.33693 0.17191 
0.60404 0.41847 0.46716 
0.60656 0.65034 0.74206 
0.71046 0.62674 0.55607 
0.94986 0.92836 0.99848 
0.27565 0.22737 0.16616 
0.44833 0.44532 0.27239 
0.70936 1.01434 0.95789 
0.43711 0.20288 0.50526 
0.99228 1.11697 0.98786 
0.11654 0.16895 0.16002 
0.75450 0.87585 0.73522 
0.61734 0.79001 0.67349 
0.72497 0.81221 0.53693 
0.63928 0.65780 0.70033 
0.86621 1.06105 1.13127 
0.73845 0.81602 0.72140 
0.90777 1.09263 0.96754 
0.60450 0.61938 0.41984 
0.80874 0.93734 0.92602 
0.91376 0.95960 1.16529 
0.99029 1.03947 0.95456 
0.89266 1.06836 1.04103 
1.00537 0.88238 0.92677 
0.61741 0.74392 0.65010 
0.64169 0.60547 0.33985 
0.25007 0.48237 0.37133 
0.61353 0.50800 0.31240 
0.59322 0.44774 0.53313 
0.24617 0.40576 0.32064 
0.80126 0.93080 1.02834 
0.94718 0.74773 0.71936 
0.30680 0.29081 0.11188 
0.45141 0.60747 0.55013 
1.03622 1.13774 1.10657 
0.82524 0.72518 0.96872 
0.73211 0.77021 0.50599 
0.29595 0.14686 0.19661 
0.77031 0.80242 0.85142 
0.59735 0.53886 0.63794 
0.81267 0.76466 0.90866 
0.20355 0.44437 0.37344 
0.93090 1.00874 1.09606 
0.43928 0.43549 0.27762 
1.04608 0.88480 0.82804 
0.78002 0.57340 0.74780 
0.48653 0.36017 0.49743 
0.76527 0.88619 0.73502 
0.66874 0.71378 0.50538 
1.10413 0.98258 0.92643 
0.83845 0.74757 0.73524 
0.95392 0.86538 0.85000 
0.44548 0.36774 0.38889 
0.50453 0.47486 0.52020 
0.93568 0.92291 1.04240 
0.69148 0.51293 0.47585 
0.82912 0.82538 0.97156 
0.66811 0.47782 0.42502 
0.68884 0.73837 0.43187 
0.93399 0.98818 0.78118 
0.42098 0.47074 0.47875 
0.38729 0.51181 0.43721 
0.58180 0.76225 0.52624 
0.82332 0.93953 0.66565 
0.79026 0.75714 0.62315 
0.47274 0.42634 0.36355 
0.65185 0.84309 0.75152 
0.43004 0.51775 0.54813 
0.33199 0.32645 0.40419 
0.31537 0.34919 0.50677 
1.09228 0.90470 1.01212 
0.57797 0.65943 0.78580 
0.44411 0.67371 0.47090 
0.36497 0.44862 0.32574 
0.91300 0.92336 0.92399 
0.40978 0.48637 0.28014 
0.77933 0.50612 0.63295 
0.91433 0.80769 0.77052 
0.57224 0.58270 0.58302 
0.51265 0.63033 0.57030 
0.19728 0.48498 0.23116 
0.13000 0.25269 0.13505 
0.31524 0.20241 0.25670 
0.58207 0.63191 0.56836 
0.63698 0.67943 0.72332 
0.93419 0.73169 0.69838 
0.84009 0.88078 0.89927 
0.56926 0.70877 0.50066 
0.34316 0.17956 0.34401 
0.80578 0.96152 0.93385 
0.45866 0.46267 0.64936 
0.21307 0.29349 0.24579 
